Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,7884.617988,8958.985333,10810.56651,9534.656364,9977.319909,11781.36185,12185.0914,11575.50711,12199.20639,12471.07936,11497.75346,11724.6115,12875.32079,15762.97579,18031.00042,18773.12536,19822.84603,22782.09462,24847.54514,23059.79745,22498.69086,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121,21437.3475,23551.04829,23330.81729
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,2405.53516,2691.195652,2920.917542,3102.296859,3771.359516,4819.125555,5196.94038,5146.671078,5538.616465,5643.675109,5413.150621,5717.21709,6533.553213,8712.698793,10671.82186,11685.75482,13159.75944,16085.61152,18677.29271,16531.67051,16825.35163,18406.01196,17430.82675,18203.24249,18630.97598,16335.6454,16501.08385,17494.72879,19380.51351,19303.54566
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,13804.87679,14811.90282,16112.18892,13339.90856,13415.287,15471.96272,16109.0844,14730.79718,15394.35146,15715.33227,14713.06571,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28100.58624,30349.7521,29555.3157
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,30593.67244,31822.80385,32800.98269,24425.28493,26083.61439,30282.96392,32998.96816,30312.4876,30596.5272,30941.07936,29624.91267,27247.85773,29899.19525,37321.7979,42821.67314,43437.06312,46593.60216,53700.00534,56152.55234,46946.96027,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,39607.81909,39577.74875,40747.92546,39270.11413,43128.01411,50155.97413,48144.57913,41631.43886,42740.12818,41786.23414,38952.0342,39727.84667,42578.76314,49470.39713,54878.471,56546.78566,59300.61722,65359.51922,74572.23237,72083.1677,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,2794.350494,2735.707615,2842.369978,3180.187577,2270.337325,2897.86664,3053.947231,3144.385703,4499.737508,4116.17056,4337.478003,3142.920998,3687.956093,4760.104019,6101.632117,7456.296101,8101.856924,9791.88245,10941.17215,9103.474051,10742.77498,11420.55546,11795.63346,12614.78161,12157.99043,11006.27952,10894.60338,10589.66772,9454.348443,9121.515167
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,23206.56856,24438.53117,26742.98485,28269.32251,28726.85721,28223.06757,27806.44882,30049.89632,34487.46757,40371.71083,42132.09072,44654.09692,50653.25691,47549.34863,38952.21103,39688.61497,42284.88449,42686.80005,43713.81412,47787.2413,45404.56777,41499.5557,40857.75558,43646.95197,43070.49836
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.13898,32853.67695,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.9677,48382.55845,47099.98047,48466.6576,49882.55813,51602.93105,53106.53677,55049.98833,56863.3715,58021.4005,60109.65573,63064.41841,65279.52903
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,3134.389753,3380.926302,3682.952301,4093.392477,4140.936602,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17464.92008,17404.2008,19050.58592,20234.11742,17395.04062,18282.92339,20387.28315,23052.30126,23397.12001
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,18143.4991,19357.10935,19663.03842,19427.07799,19129.19479,21061.48228,20316.24805,18439.64616,18991.37985,19910.61067,20585.13861,21853.14024,24952.54759,29650.77025,27780.46372,30780.02382,33775.512,32667.60687,36499.45611,37847.64994,35808.43643,37330.2618,40774.12961,42063.45313,43951.24773
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,3492.710314,3490.452505,3098.802639,2930.670201,2662.104034,2665.779867,2643.929196,2737.572024,1834.861843,1330.757236,1771.594059,2100.352512,2377.529577,2975.125353,4102.364833,5323.463083,6920.189125,9101.255049,11635.27293,8562.813277,10674.99578,14311.08432,15420.87454,15974.64463,14095.64874,9313.013625,8704.898413,10720.33266,11287.35528,11497.64925
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,10730.45101,10815.11105,10454.96564,11175.77103,11452.78312,10201.30354,10479.75963,11777.15566,14849.03724,17233.13856,18098.90854,19672.96556,23787.64656,27483.33717,24694.23049,23509.54314,25095.13229,22643.10025,23496.6025,24214.92207,20881.76693,21663.64341,23455.94473,26104.10279,25942.95477
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,2329.576733,2431.709,2683.241368,2973.534843,3151.577018,3361.640869,3578.0019,4136.933297,5145.195232,6378.666521,7594.902384,9723.446902,14113.52913,16467.14369,12331.92855,11420.994,13338.96224,13847.33794,15007.49186,15721.45233,13780.91355,14322.02268,15656.34749,17856.30712,17926.84159
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,2167.792582,2327.434857,2830.278071,3166.666533,3113.17906,3293.229979,3525.793632,4141.592702,5499.428989,6700.327192,7854.765279,9230.707981,12285.44705,14944.99665,11820.77616,11987.50841,14376.94786,14367.70942,15729.65247,16551.0182,14258.22933,14998.12506,16843.69965,19176.81215,19575.76848
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2622.262881,2259.239894,2127.50719,2348.090047,3295.244924,4748.388208,5166.163933,5282.04947,5087.079072,3479.843833,3749.910848,3160.249345,2839.491501,3070.436419,3637.31389,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8897.552966
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.83817
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,1831.000151,2247.373379,2605.805225,2841.64278,3031.888771,3265.693381,3215.105687,3391.977735,3597.434509,3668.802068,3789.053886,3960.307703,4042.705686,4147.824369,4404.711884,4676.379366,5227.465952,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12485.4239,12693.82796
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,367.5566089,303.0556077,316.9539272,301.1590023,346.1029514,373.7664808,399.9500747,415.4937978,413.2989322,441.9987604,443.3141938,451.5729973,470.9867868,546.7266135,627.7742417,714.8610154,806.7532806,1028.334772,998.5223415,1101.960838,1357.563727,1458.104066,1443.882435,1449.610451,1573.885642,1605.605445,1732.554242,1980.66702,1996.915087,2100.751461
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,585.0765629,631.7828578,681.9383856,827.9052662,912.2032939,1026.393436,1137.410101,1063.712376,463.9481582,671.0986097,780.1902047,748.2576087,900.1775881,1065.64852,1150.261367,1263.287332,1589.801489,1860.002811,2166.854231,2261.247309,3122.362673,3643.047176,3694.35934,3623.927241,3491.637491,3331.695115,3562.816334,3837.578024,3893.859578,4135.201531
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,3139.966225,3285.972326,3479.083205,3713.921206,3784.449144,4144.613723,3864.415112,3930.836564,3502.166447,3417.264589,3374.718423,2971.819769,2797.087291,4217.11478,5409.133489,6033.101491,6266.533987,6780.884555,6350.65271,6532.736968,8148.961202,8810.930651,8222.197279,7467.079185,6988.808739,6259.839681,5756.965741,6690.939847,7005.095413,6624.761865
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,10056.63794
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,49373.61027,50886.37531,55197.54701,55794.32733,64051.23221,78631.69911,79863.27908,72208.93467,76757.30022,81307.06837,74853.93873,74287.41337,79345.75247,89859.86537,100289.243,105399.2605,114374.2465,130655.637,143264.0594,126096.6104,141192.5347,158130.4575,149010.2249,173030.2083,178864.8519,167313.2663,165642.3863,171253.9643,180366.7152,175813.8756
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.286018,1470.103703,1361.392386,1820.405094,1659.718346,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533
